company,title,location,ats_type,job_url,posted_at,score,reason,matched_keywords,sponsorship_signal,apply_mode,status
Databricks,AI Engineer - FDE (Forward Deployed Engineer),United States,greenhouse,https://databricks.com/company/careers/open-positions/job?gh_jid=8546367002,2026-06-01T10:20:48-04:00,80,target title match; sql/aws/spark/databricks/machine learning/llm/rag match; target location match,sql|aws|spark|databricks|machine learning|llm|rag,unknown,browser_prepare,queued
DoorDash,Machine Learning Engineer - ETA Team,"Sunnyvale, CA; San Francisco, CA; Seattle, WA",greenhouse,https://job-boards.greenhouse.io/doordashusa/jobs/5657317,2026-05-28T13:39:07-04:00,80,target title match; python/aws/spark/machine learning/llm/rag match; target location match,python|aws|spark|machine learning|llm|rag,unknown,browser_prepare,queued
Stripe,"Forward Deployed Engineer, Privy",New York Privy HQ,greenhouse,https://stripe.com/jobs/search?gh_jid=7230452,2026-06-01T22:33:43-04:00,75,target title match; python/aws/rag match; target location match; no negative keyword,python|aws|rag,unknown,browser_prepare,queued
Stripe,Software Engineer,"Seattle, WA",greenhouse,https://stripe.com/jobs/search?gh_jid=7922832,2026-06-01T18:53:42-04:00,75,target title match; backend/distributed systems/rag match; target location match; no negative keyword,backend|distributed systems|rag,unknown,browser_prepare,queued
Stripe,"Software Engineer, Product Security Data Platforms",Seattle,greenhouse,https://stripe.com/jobs/search?gh_jid=7761694,2026-05-27T14:08:12-04:00,75,target title match; aws/spark/backend/distributed systems/rag match; target location match,aws|spark|backend|distributed systems|rag,unknown,browser_prepare,queued
DoorDash,"Software Engineer, Data Platform (All Teams)","San Francisco, CA; Seattle, WA; Sunnyvale, CA; New York, NY",greenhouse,https://job-boards.greenhouse.io/doordashusa/jobs/7577073,2026-05-28T13:39:07-04:00,75,target title match; aws/spark/rag match; target location match; no negative keyword,aws|spark|rag,unknown,browser_prepare,queued
DoorDash,"Software Engineer, Machine Learning - Credit & Refund Optimization","San Francisco, CA; Sunnyvale, CA; Seattle, WA",greenhouse,https://job-boards.greenhouse.io/doordashusa/jobs/7932109,2026-05-28T13:39:07-04:00,75,target title match; python/aws/spark/machine learning/rag match; target location match,python|aws|spark|machine learning|rag,unknown,browser_prepare,queued
Pinterest,"Software Engineer II, Backend","San Francisco, CA, US; Seattle, WA, US",greenhouse,https://www.pinterestcareers.com/jobs/?gh_jid=4813946,2026-05-27T15:39:12-04:00,75,target title match; python/aws/backend/distributed systems/rag match; target location match,python|aws|backend|distributed systems|rag,unknown,browser_prepare,queued
Pinterest,"Software Engineer II, Big Data, tvScientific","San Francisco, CA, US; Remote, US",greenhouse,https://www.pinterestcareers.com/jobs/?gh_jid=7782546,2026-05-28T05:45:02-04:00,75,target title match; sql/aws/spark/machine learning/rag match; target location match,sql|aws|spark|machine learning|rag,unknown,browser_prepare,queued
Pinterest,"Software Engineer II, Simulation, tvScientific","San Francisco, CA, US; Remote, US",greenhouse,https://www.pinterestcareers.com/jobs/?gh_jid=7642265,2026-05-26T13:46:34-04:00,75,target title match; python/aws/spark/llm/rag match; target location match,python|aws|spark|llm|rag,unknown,browser_prepare,queued
Stripe,Software Engineer IC-02 ,"New York, NY",greenhouse,https://stripe.com/jobs/search?gh_jid=7926966,2026-05-27T17:42:17-04:00,70,target title match; sql/rag match; target location match; no negative keyword,sql|rag,unknown,browser_prepare,queued
Vercel,"Software Engineer, Backend",Remote - United States,greenhouse,https://job-boards.greenhouse.io/vercel/jobs/5430088004,2026-06-01T15:20:00-04:00,70,target title match; sql/aws/backend/rag match; target location match,sql|aws|backend|rag,unknown,browser_prepare,queued
Vercel,"Software Engineer, CDN Security",Remote - United States,greenhouse,https://job-boards.greenhouse.io/vercel/jobs/5473266004,2026-06-01T15:20:00-04:00,70,target title match; distributed systems/rag match; target location match; no negative keyword,distributed systems|rag,unknown,browser_prepare,queued
Vercel,"Software Engineer, Compute",Remote - United States,greenhouse,https://job-boards.greenhouse.io/vercel/jobs/5551619004,2026-06-01T15:20:00-04:00,70,target title match; distributed systems/rag match; target location match; no negative keyword,distributed systems|rag,unknown,browser_prepare,queued
DoorDash,"Software Engineer, Backend (All Teams)","Los Angeles, CA; Sunnyvale, CA; San Francisco, CA; New York, NY; Seattle, WA; Ann Arbor, MI",greenhouse,https://job-boards.greenhouse.io/doordashusa/jobs/5630445,2026-05-28T13:39:07-04:00,70,target title match; sql/aws/backend/rag match; target location match,sql|aws|backend|rag,unknown,browser_prepare,queued
Lyft,"Machine Learning Engineer, Lyft Business","New York, NY; San Francisco, CA",greenhouse,https://app.careerpuck.com/job-board/lyft/job/8513769002?gh_jid=8513769002,2026-05-27T15:43:39-04:00,70,target title match; aws/machine learning/llm/rag match; target location match,aws|machine learning|llm|rag,unknown,browser_prepare,queued
Pinterest,"Software Engineer II, ML Platform, tvScientific","San Francisco, CA, US; Remote, US",greenhouse,https://www.pinterestcareers.com/jobs/?gh_jid=7782571,2026-05-26T13:48:18-04:00,70,target title match; python/aws/distributed systems/rag match; target location match,python|aws|distributed systems|rag,unknown,browser_prepare,queued
